time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-25T10:51:33.486Z,24.66,61.5204,10,4.1,mb,,235,4.839,0.6,us,us7000gyhc,2022-04-21T12:04:17.040Z,"48 km SSW of Jiwani, Pakistan",earthquake,14.9,2,0.185,9,reviewed,us,us
2022-01-11T21:21:56.484Z,25.4644,62.4473,10,4.7,mb,,122,5.678,0.61,us,us7000gb39,2022-03-19T22:07:48.040Z,"39 km NNE of Gwadar, Pakistan",earthquake,9.4,1.7,0.069,64,reviewed,us,us
2021-12-18T19:40:33.908Z,25.5047,60.8744,10,4,mb,,137,4.266,0.68,us,us6000gekf,2022-03-01T16:37:39.040Z,"33 km NE of Chabahar, Iran",earthquake,8.6,1.8,0.129,16,reviewed,us,us
2021-11-12T03:39:54.234Z,24.6025,62.3405,10,4.3,mb,,171,5.588,0.72,us,us7000fuuj,2022-01-22T20:51:58.040Z,off the coast of Pakistan,earthquake,14.6,1.9,0.153,14,reviewed,us,us
2021-08-26T00:07:48.081Z,25.0595,61.3743,10,4.1,mb,,168,4.692,0.47,us,us7000f3y2,2021-11-02T14:55:20.040Z,"37 km W of Jiwani, Pakistan",earthquake,12.1,2,0.114,21,reviewed,us,us
2021-05-24T21:15:18.761Z,27.4192,62.7334,10,4.3,mb,,133,6.361,0.71,us,us6000efix,2021-07-31T22:09:23.040Z,"160 km NNW of Turbat, Pakistan",earthquake,6.6,1.9,0.119,20,reviewed,us,us
2021-02-13T04:34:32.933Z,25.4683,61.8035,10,4.3,mb,,182,5.098,0.72,us,us6000djcf,2021-04-23T21:04:27.040Z,"46 km N of Jiwani, Pakistan",earthquake,12.4,2,0.16,12,reviewed,us,us
2020-06-17T06:58:17.560Z,25.0244,63.2549,10,4.6,mb,,97,6.398,0.9,us,us6000adbh,2020-08-30T00:00:40.040Z,"34 km SW of Pasni, Pakistan",earthquake,7.6,1.9,0.069,63,reviewed,us,us
2020-05-15T12:52:45.818Z,25.9932,62.2797,10,4.7,mb,,166,5.589,0.64,us,us70009gmw,2020-08-02T00:31:34.040Z,"76 km W of Turbat, Pakistan",earthquake,10.1,1.9,0.08,47,reviewed,us,us
2020-01-04T08:24:38.167Z,25.499,63.1389,10,4.9,mb,,97,6.304,0.68,us,us70006ulm,2020-03-21T17:13:35.040Z,southwestern Pakistan,earthquake,10,1.9,0.079,51,reviewed,us,us
