time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-06T00:48:02.758Z,28.4517,64.3204,10.0,5.1,mb,,120.0,7.286,0.9,us,us7000h7er,2022-05-06T01:05:22.040Z,"49 km S of Dalbandin, Pakistan",earthquake,9.8,1.9,0.045,163.0,reviewed,us,us
2022-03-16T12:02:59.784Z,31.945,66.8343,10.0,4.1,mb,,117.0,3.182,1.03,us,us6000h50p,2022-03-17T03:18:07.040Z,"19 km SSW of Qal?t, Afghanistan",earthquake,9.6,1.9,0.135,15.0,reviewed,us,us
2021-12-25T06:39:01.552Z,30.314,67.4107,10.0,4.7,mb,,96.0,4.434,0.74,us,us6000gf61,2022-03-05T23:10:38.040Z,"22 km SSW of Alik Ghund, Pakistan",earthquake,7.5,1.9,0.097,32.0,reviewed,us,us
2021-10-30T13:09:23.898Z,28.2806,65.7619,10.0,4.3,mb,,94.0,6.841,0.7,us,us7000fq38,2022-01-14T17:58:45.040Z,"47 km SE of Kharan, Pakistan",earthquake,9.2,1.9,0.116,21.0,reviewed,us,us
2021-10-10T15:02:41.360Z,30.0547,67.9369,10.0,4.5,mb,,124.0,4.57,0.62,us,us6000ftip,2021-12-18T19:58:47.040Z,"5 km S of Harnai, Pakistan",earthquake,10.0,1.9,0.105,30.0,reviewed,us,us
2021-10-06T22:01:08.867Z,30.1933,67.9948,9.0,5.9,mww,,17.0,4.424,0.52,us,us6000fsg9,2021-12-21T13:03:01.220Z,"11 km NNE of Harnai, Pakistan",earthquake,8.4,1.7,0.098,10.0,reviewed,us,us
2021-05-27T08:54:33.708Z,30.0738,66.2502,10.0,4.7,mb,,96.0,5.042,0.71,us,us6000ef0w,2021-07-31T22:10:13.040Z,"61 km NNE of Nushki, Pakistan",earthquake,8.9,1.9,0.074,56.0,reviewed,us,us
2021-05-27T00:38:27.680Z,30.0988,66.2734,10.0,4.2,mb,,123.0,5.011,0.71,us,us6000eey6,2021-07-31T22:10:07.040Z,"64 km WNW of Mastung, Pakistan",earthquake,9.4,1.9,0.106,25.0,reviewed,us,us
2021-05-25T22:12:19.297Z,30.2556,66.4514,10.0,4.2,mb,,121.0,4.802,0.74,us,us6000efky,2021-07-31T22:09:48.040Z,"51 km W of Kot Malik Barkhurdar, Pakistan",earthquake,9.9,1.9,0.108,24.0,reviewed,us,us
2021-04-10T21:49:38.394Z,28.3413,67.2682,10.0,4.3,mb,,176.0,6.363,0.82,us,us6000e0pc,2021-06-19T21:24:57.040Z,"73 km WNW of Chowki Jamali, Pakistan",earthquake,10.6,1.9,0.107,25.0,reviewed,us,us
2021-04-10T15:18:24.540Z,28.062,66.6139,34.15,4.1,mb,,149.0,6.784,0.76,us,us6000e0mr,2021-06-19T21:24:54.040Z,"27 km N of Khuzdar, Pakistan",earthquake,9.9,6.6,0.107,30.0,reviewed,us,us
2021-02-09T01:16:16.570Z,31.0033,66.7118,10.0,4.3,mb,,133.0,4.037,0.64,us,us6000di1t,2021-04-22T21:51:46.040Z,"26 km ENE of Chaman, Pakistan",earthquake,10.2,2.0,0.16,11.0,reviewed,us,us
2020-11-14T02:56:55.620Z,30.3659,67.435,12.04,5.5,mww,,41.0,4.379,0.96,us,us7000cet5,2022-03-10T05:47:38.086Z,"16 km SSW of Alik Ghund, Pakistan",earthquake,8.5,3.5,0.08,15.0,reviewed,us,us
2020-10-16T08:13:29.666Z,29.5811,67.543,10.0,4.3,mb,,144.0,5.106,0.33,us,us6000c8q9,2020-12-29T23:07:27.040Z,"15 km NW of Dadhar, Pakistan",earthquake,11.5,2.0,0.142,14.0,reviewed,us,us
2020-08-16T13:39:01.465Z,28.0836,65.938,13.39,4.2,mb,,131.0,8.393,0.92,us,us6000bfm0,2020-10-24T20:08:56.040Z,"55 km SW of Surab, Pakistan",earthquake,9.8,4.7,0.098,29.0,reviewed,us,us
2020-08-12T22:40:45.802Z,28.0443,65.9578,13.98,5.6,mww,,37.0,6.993,0.74,us,us6000bdq8,2022-03-10T05:33:11.668Z,"57 km SSW of Surab, Pakistan",earthquake,7.1,2.1,0.083,14.0,reviewed,us,us
2020-03-05T16:05:56.508Z,29.3811,67.7,16.31,4.3,mb,,71.0,5.269,0.68,us,us60008aax,2020-05-23T22:03:06.040Z,"11 km SSE of Dadhar, Pakistan",earthquake,8.4,2.9,0.079,53.0,reviewed,us,us
2020-01-04T22:34:22.995Z,31.9136,66.8822,10.0,4.0,mb,,147.0,3.185,0.89,us,us70006ut9,2020-03-21T17:13:35.040Z,"21 km S of Qal?t, Afghanistan",earthquake,5.6,2.0,0.183,8.0,reviewed,us,us
2019-12-03T11:24:31.615Z,28.8676,65.0598,13.67,4.3,mb,,210.0,6.003,0.38,us,us70006fie,2020-02-29T19:52:43.040Z,"46 km NW of Kharan, Pakistan",earthquake,14.0,7.0,0.099,29.0,reviewed,us,us
2019-08-28T19:35:00.502Z,31.263,66.6489,10.0,4.0,mb,,150.0,3.839,0.75,us,us700059ab,2019-11-15T17:19:33.040Z,"42 km NNE of Chaman, Pakistan",earthquake,10.0,2.0,0.196,7.0,reviewed,us,us
2019-03-16T06:00:04.750Z,29.7206,67.4271,10.0,5.0,mb,,93.0,4.997,0.58,us,us1000jgz1,2019-06-01T21:24:17.040Z,"18 km SSE of Mach, Pakistan",earthquake,7.9,1.7,0.054,110.0,reviewed,us,us
2019-03-03T06:33:21.670Z,28.8375,67.389,16.68,4.5,mb,,83.0,5.858,0.57,us,us1000ja2b,2019-05-14T18:36:18.040Z,"48 km WSW of Bhag, Pakistan",earthquake,6.9,4.2,0.074,53.0,reviewed,us,us
2019-02-18T09:48:46.570Z,28.6712,66.7197,10.0,4.1,mb,,133.0,6.177,0.91,us,us2000jjh9,2019-05-01T22:01:01.040Z,"41 km SSE of Kalat, Pakistan",earthquake,4.4,2.0,0.135,15.0,reviewed,us,us
2018-12-17T07:12:39.170Z,29.9821,67.6466,10.0,4.7,mb,,60.0,4.696,0.84,us,us2000iud2,2019-02-23T20:21:05.040Z,"31 km WSW of Harnai, Pakistan",earthquake,4.0,1.9,0.069,70.0,reviewed,us,us
2018-11-22T09:07:10.570Z,29.01,66.4136,10.0,4.4,mb,,97.0,5.951,1.19,us,us1000hvcm,2019-02-02T20:02:28.040Z,"17 km W of Kalat, Pakistan",earthquake,8.1,1.9,0.102,28.0,reviewed,us,us
2018-07-19T19:33:26.480Z,30.3549,66.4482,10.0,4.2,mb,,87.0,4.714,1.11,us,us2000g94a,2018-10-04T14:15:23.040Z,"54 km WNW of Kot Malik Barkhurdar, Pakistan",earthquake,6.7,1.9,0.101,27.0,reviewed,us,us
2018-06-27T16:53:38.200Z,30.2701,66.5443,24.88,4.1,mb,,135.0,4.753,1.05,us,us1000f3fl,2018-09-21T16:25:46.040Z,"43 km W of Kot Malik Barkhurdar, Pakistan",earthquake,8.1,7.6,0.157,11.0,reviewed,us,us
2018-06-19T10:53:45.020Z,28.1275,65.9091,10.0,4.5,mb,,109.0,6.932,0.69,us,us1000eyqu,2018-09-19T15:15:54.040Z,"53 km SW of Surab, Pakistan",earthquake,9.1,1.9,0.181,9.0,reviewed,us,us
