time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-11T01:41:41.895Z,33.2832,70.5607,41.19,4.8,mb,,70,1.779,0.8,us,us7000h16s,2022-04-22T04:55:27.017Z,Afghanistan-Pakistan border region,earthquake,4.2,5,0.048,131,reviewed,us,us
2022-03-02T09:58:27.468Z,35.5378,69.7845,91.19,5.2,mww,,38,1.165,0.78,us,us6000h1c9,2022-05-07T21:32:42.040Z,"34 km NE of B?z?rak, Afghanistan",earthquake,5.8,5.9,0.098,10,reviewed,us,us
2022-02-12T18:04:49.886Z,35.4588,70.5963,83.92,4.6,mb,,52,1.569,0.6,us,us7000gkbj,2022-04-30T14:18:03.040Z,"29 km W of P?r?n, Afghanistan",earthquake,4.2,5.9,0.056,103,reviewed,us,us
2021-12-23T13:02:54.518Z,34.0215,70.4751,51.3,4.4,mb,,48,1.293,1.06,us,us6000geti,2022-03-01T16:39:52.040Z,"24 km WSW of Markaz-e Woluswal?-ye ?ch?n, Afghanistan",earthquake,6,6.7,0.083,42,reviewed,us,us
2021-11-20T14:03:46.610Z,32.1077,69.0845,42.75,4,mb,,96,2.426,0.99,us,us7000fvrt,2022-01-29T22:55:09.040Z,"50 km WSW of Wana, Pakistan",earthquake,8.3,6.9,0.157,11,reviewed,us,us
2021-11-13T21:42:04.636Z,32.202,68.7997,10,4.7,mb,,50,2.341,0.47,us,us7000ftwp,2022-01-22T20:51:49.040Z,"73 km W of Wana, Pakistan",earthquake,7.8,1.8,0.057,93,reviewed,us,us
2021-11-07T05:03:02.318Z,35.8697,70.7367,93.18,4.2,mb,,91,1.26,0.55,us,us7000fs58,2022-01-15T20:51:37.040Z,"52 km NNW of P?r?n, Afghanistan",earthquake,6.1,8.8,0.121,21,reviewed,us,us
2021-08-16T07:31:10.679Z,35.7887,68.5348,33.68,4.4,mb,,71,1.312,1,us,us7000f4mz,2021-10-29T14:46:58.040Z,"13 km SSE of ?uk?mat? Dahanah-ye Gh?r?, Afghanistan",earthquake,8.2,6.4,0.178,9,reviewed,us,us
2021-06-24T23:04:44.289Z,34.9509,69.0848,16.2,5.1,mww,,49,0.41,1.08,us,us6000epir,2021-10-13T15:32:08.163Z,"10 km SW of Charikar, Afghanistan",earthquake,6.2,4,0.098,10,reviewed,us,us
2021-06-24T04:58:58.588Z,35.93,70.963,91.24,4.4,mb,,81,1.233,0.45,us,us6000ep95,2021-08-27T18:58:47.040Z,"56 km N of P?r?n, Afghanistan",earthquake,6.1,3.3,0.078,47,reviewed,us,us
2021-06-23T01:09:13.906Z,33.5317,71.5687,33.21,4.7,mb,,96,1.423,0.58,us,us7000efcx,2021-08-27T18:58:30.040Z,"12 km ESE of Kohat, Pakistan",earthquake,4.7,4.8,0.057,93,reviewed,us,us
2021-06-19T13:59:17.264Z,32.1089,69.8552,51.42,4.5,mb,,96,2.518,0.77,us,us7000eeew,2021-08-27T18:57:36.040Z,"33 km SE of Wana, Pakistan",earthquake,7.8,7,0.061,78,reviewed,us,us
2021-06-15T21:52:16.471Z,34.5637,70.3727,34.73,4.4,mb,,70,1.097,0.94,us,us7000edcg,2021-08-26T21:59:24.040Z,"16 km NNW of Jal?l?b?d, Afghanistan",earthquake,6.5,4.8,0.087,38,reviewed,us,us
2021-05-19T09:19:13.065Z,34.776,69.5705,14.82,4.6,mb,,55,0.494,0.7,us,us7000e4d1,2021-07-24T21:08:13.040Z,"11 km SW of Tag?b, Afghanistan",earthquake,5.4,4.1,0.065,71,reviewed,us,us
2021-04-13T23:41:17.827Z,34.5245,70.126,38.74,4.1,mb,,112,0.894,0.97,us,us6000e38y,2021-06-19T21:26:19.040Z,"18 km SSW of Mehtar L?m, Afghanistan",earthquake,6.4,7.4,0.145,13,reviewed,us,us
2021-04-04T06:16:28.552Z,35.9507,69.7657,96.12,4.5,mb,,75,1.525,0.98,us,us6000dyw4,2021-06-12T21:37:00.040Z,"58 km ESE of Nahr?n, Afghanistan",earthquake,5.2,10.1,0.112,23,reviewed,us,us
2021-02-18T18:18:43.335Z,34.0145,68.8554,10,3.7,mb,,230,0.547,0.94,us,us6000dipz,2021-05-19T09:45:18.892Z,"10 km WNW of Baraki Barak, Afghanistan",earthquake,5.3,2,0.225,6,reviewed,us,us
2020-11-12T02:06:11.667Z,35.4779,70.9652,105.1,4,mb,,107,1.833,0.79,us,us7000cdlw,2021-01-27T17:28:44.040Z,"7 km NNE of P?r?n, Afghanistan",earthquake,7,8,0.155,11,reviewed,us,us
2020-10-24T12:10:55.386Z,35.2459,71.9924,68.28,4.4,mb,,105,1.909,0.74,us,us6000cckz,2021-01-09T20:05:23.040Z,"11 km ENE of Upper Dir, Pakistan",earthquake,3.8,10.7,0.12,20,reviewed,us,us
2020-10-17T16:19:48.308Z,32.022,69.074,45.61,4.3,mb,,112,2.512,1.41,us,us6000c90n,2020-12-29T23:07:32.040Z,"56 km WSW of Wana, Pakistan",earthquake,8.3,6.8,0.097,33,reviewed,us,us
2020-09-29T11:17:27.876Z,35.0666,69.0404,35,4.1,mb,,107,0.524,0.69,us,us6000c2hl,2020-12-05T21:03:06.040Z,"13 km WNW of Charikar, Afghanistan",earthquake,6.6,2,0.185,8,reviewed,us,us
2020-09-26T04:04:46.848Z,35.9861,69.6564,112.61,4.5,mb,,65,1.526,1.17,us,us6000c1hq,2020-12-05T21:02:59.040Z,"47 km E of Nahr?n, Afghanistan",earthquake,6.5,7.2,0.069,62,reviewed,us,us
2020-08-30T05:44:51.450Z,33.9671,69.4762,10,4,mb,,175,0.675,0.63,us,us7000beyh,2020-11-07T18:48:35.040Z,"27 km SW of ?uk?mat? Azrah, Afghanistan",earthquake,7.1,1.9,0.139,14,reviewed,us,us
2020-08-01T06:31:40.399Z,35.3465,69.604,10,4.5,mb,,95,0.926,0.91,us,us6000b7v0,2020-10-10T17:11:07.040Z,"8 km ENE of B?z?rak, Afghanistan",earthquake,5.7,1.9,0.131,17,reviewed,us,us
2020-07-24T10:39:16.194Z,35.5442,69.1392,112.9,4.2,mb,,139,1.004,1.02,us,us6000b3b5,2020-10-03T17:32:19.040Z,"42 km NW of B?z?rak, Afghanistan",earthquake,7.3,10.3,0.186,8,reviewed,us,us
2020-07-18T21:14:47.316Z,35.3767,70.7366,82.48,4.6,mb,,40,1.621,0.61,us,us7000aqzx,2020-09-26T16:58:37.040Z,"17 km WSW of P?r?n, Afghanistan",earthquake,5.1,6.1,0.06,82,reviewed,us,us
2020-07-06T16:06:23.560Z,34.5903,69.0436,9.82,4.4,mb,,89,0.049,0.77,us,us7000aiuv,2020-09-11T22:14:21.040Z,"8 km E of Paghm?n, Afghanistan",earthquake,5.6,4.9,0.124,19,reviewed,us,us
2020-06-24T13:49:23.892Z,33.4991,71.4493,10,4.3,mb,,99,2.252,1.02,us,us7000afqt,2020-09-05T17:35:39.040Z,"9 km S of Kohat, Pakistan",earthquake,6,1.9,0.111,23,reviewed,us,us
2020-05-27T05:31:38.205Z,34.2918,71.0348,10,4.2,mb,,168,1.665,1.25,us,us60009ztl,2020-08-15T20:19:35.040Z,"13 km WSW of Shinpokh, Pakistan",earthquake,8.9,2,0.175,9,reviewed,us,us
