time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-15T01:33:24.403Z,38.7431,72.1931,10,4.4,mb,,164,0.798,1.37,us,us6000hf9u,2022-04-21T22:38:26.040Z,"79 km SE of Karakenja, Tajikistan",earthquake,5.9,1.9,0.18,11,reviewed,us,us
2022-04-07T07:10:04.415Z,37.3015,72.0117,165.09,4.5,mb,,65,1.159,0.41,us,us7000h0bc,2022-05-01T11:46:30.040Z,"45 km ESE of Khorugh, Tajikistan",earthquake,6.4,8.4,0.271,4,reviewed,us,us
2022-04-06T04:54:03.783Z,37.6329,75.9554,115.8,4.2,mb,,81,3.741,0.6,us,us7000h02z,2022-04-15T03:28:38.040Z,"142 km SW of Shache, China",earthquake,4.8,8,0.14,14,reviewed,us,us
2022-03-23T18:25:04.506Z,38.0393,72.6395,121.24,4.3,mb,,61,1.582,0.31,us,us7000gwkz,2022-03-30T16:54:49.040Z,,earthquake,4.1,7.7,0.098,30,reviewed,us,us
2022-03-21T15:20:27.807Z,37.503,72.2188,183.49,4.4,mb,,56,1.362,0.59,us,us6000h6ei,2022-03-27T19:50:07.040Z,"58 km E of Khorugh, Tajikistan",earthquake,7.3,7.7,0.117,22,reviewed,us,us
2022-03-19T06:22:21.782Z,37.593,72.3275,193.55,4.2,mb,,112,1.471,0.53,us,us6000h5z3,2022-04-07T08:39:18.040Z,"69 km E of Khorugh, Tajikistan",earthquake,7.2,8,0.124,18,reviewed,us,us
2022-02-16T05:38:15.249Z,36.2366,73.2176,62.14,4.4,mb,,66,2.301,0.55,us,us7000gl7r,2022-04-30T14:18:18.040Z,"49 km W of Gahkuch, Pakistan",earthquake,4.1,8,0.086,39,reviewed,us,us
2022-02-10T08:45:02.377Z,39.7669,73.0306,10,4.3,mb,,55,0.988,0.85,us,us7000gjm3,2022-04-19T17:39:27.040Z,"65 km SSE of Nookat, Kyrgyzstan",earthquake,4.2,1.9,0.099,33,reviewed,us,us
2022-02-01T16:45:10.308Z,38.606,73.2912,105.46,4.5,mb,,62,1.451,0.44,us,us7000ggz8,2022-04-15T17:57:11.040Z,"76 km NW of Murghob, Tajikistan",earthquake,6.8,6.8,0.089,37,reviewed,us,us
2022-01-08T19:56:19.350Z,38.6317,73.7473,103,4.7,mb,,41,1.734,0.57,us,us7000ga8b,2022-03-19T22:07:29.040Z,"54 km NNW of Murghob, Tajikistan",earthquake,6.4,6.7,0.055,99,reviewed,us,us
2022-01-06T21:28:36.897Z,37.5127,72.2934,184.72,4.1,mb,,64,1.422,0.76,us,us7000g9qn,2022-03-12T22:19:13.040Z,"62 km N of Khand?d, Afghanistan",earthquake,6.9,3.4,0.082,40,reviewed,us,us
2022-01-01T02:17:56.815Z,38.7251,73.4827,105.79,4.2,mb,,95,1.509,1.01,us,us7000g89l,2022-03-12T22:18:59.040Z,"74 km NW of Murghob, Tajikistan",earthquake,6.4,8.3,0.153,13,reviewed,us,us
2021-12-31T21:54:32.154Z,37.4846,72.2407,189.59,4.1,mb,,81,1.374,0.49,us,us7000g88k,2022-03-05T23:11:00.040Z,"59 km N of Khand?d, Afghanistan",earthquake,7.7,5.1,0.158,11,reviewed,us,us
2021-12-16T14:07:13.165Z,38.4155,74.2465,135.86,4.4,mb,,86,2.181,0.64,us,us6000gcs0,2022-02-24T21:01:47.040Z,"36 km NE of Murghob, Tajikistan",earthquake,6.8,9.4,0.22,6,reviewed,us,us
2021-12-07T15:22:29.879Z,38.1001,72.7247,119.64,4.4,mb,,84,1.556,0.49,us,us6000ga31,2022-02-12T23:06:24.040Z,"109 km W of Murghob, Tajikistan",earthquake,3.6,7.2,0.12,22,reviewed,us,us
2021-12-03T09:51:56.646Z,38.1403,72.7194,123.89,4,mb,,128,1.519,0.42,us,us6000g8p0,2022-02-12T23:05:43.040Z,"109 km W of Murghob, Tajikistan",earthquake,5.2,7.2,0.196,7,reviewed,us,us
2021-11-21T05:52:19.803Z,39.8389,75.5,10,4,mb,,155,2.424,0.49,us,us7000fvw8,2022-01-29T22:55:13.040Z,"58 km NW of Kashgar, China",earthquake,7.7,2,0.366,2,reviewed,us,us
2021-11-01T15:36:54.716Z,38.3353,74.0881,141.13,4.4,mb,,59,2.118,0.74,us,us7000frr0,2022-01-14T17:59:03.040Z,"21 km NNE of Murghob, Tajikistan",earthquake,7.3,7.4,0.138,16,reviewed,us,us
2021-10-27T10:21:40.732Z,38.1898,72.7715,122,4.2,mb,,65,1.496,0.61,us,us7000fp5m,2022-01-08T17:43:11.040Z,"104 km W of Murghob, Tajikistan",earthquake,7.4,8.5,0.187,8,reviewed,us,us
2021-10-21T17:46:06.757Z,38.1734,72.9929,58.95,4.2,mb,,65,1.603,1.32,us,us6000fwhk,2021-12-25T22:58:57.040Z,"85 km W of Murghob, Tajikistan",earthquake,6.4,8.7,0.141,14,reviewed,us,us
2021-10-18T07:21:22.776Z,37.7497,72.259,124.92,4.3,mb,,92,1.477,0.37,us,us6000fvkd,2021-12-25T22:58:45.040Z,"68 km ENE of Khorugh, Tajikistan",earthquake,7.3,4,0.138,15,reviewed,us,us
2021-10-17T21:03:12.021Z,38.0465,74.4981,189.25,4.1,mb,,108,3.248,0.7,us,us6000fvi0,2021-12-25T22:58:44.040Z,"48 km ESE of Murghob, Tajikistan",earthquake,9.2,13.2,0.175,9,reviewed,us,us
2021-10-04T16:10:25.711Z,38.2604,74.1028,162.67,4.4,mb,,49,2.169,0.42,us,us6000frl6,2021-12-10T21:14:08.040Z,"15 km NE of Murghob, Tajikistan",earthquake,6.1,6.5,0.085,40,reviewed,us,us
2021-10-03T06:19:57.525Z,38.0692,73.0921,45.87,4.6,mb,,96,1.733,0.57,us,us6000fr9d,2021-12-10T21:14:04.040Z,"77 km W of Murghob, Tajikistan",earthquake,6.6,8.3,0.082,44,reviewed,us,us
2021-09-27T05:40:36.822Z,38.0372,73.2259,10,5.1,mww,,48,1.821,0.42,us,us7000fes1,2021-12-04T14:29:52.040Z,"66 km WSW of Murghob, Tajikistan",earthquake,5.7,1.8,0.08,15,reviewed,us,us
