,end_date,start_date
0,2021-09-12,2021-09-06
1,2021-09-05,2021-08-30
2,2021-08-29,2021-08-23
3,2021-08-22,2021-08-16
4,2021-08-15,2021-08-09
5,2021-08-08,2021-08-02
6,2021-08-01,2021-07-26
7,2021-07-25,2021-07-19
8,2021-07-18,2021-07-12
9,2021-07-11,2021-07-05
10,2021-07-04,2021-06-28
11,2021-06-27,2021-06-21
12,2021-06-20,2021-06-14
13,2021-06-13,2021-06-07
14,2021-06-06,2021-05-31
15,2021-05-30,2021-05-24
16,2021-05-23,2021-05-17
17,2021-05-16,2021-05-10
18,2021-05-09,2021-05-03
19,2021-05-02,2021-04-26
20,2021-04-25,2021-04-19
21,2021-04-18,2021-04-12
22,2021-04-11,2021-04-05
23,2021-04-04,2021-03-29
24,2021-03-28,2021-03-22
25,2021-03-21,2021-03-15
26,2021-03-14,2021-03-08
27,2021-03-07,2021-03-01
28,2021-02-28,2021-02-22
29,2021-02-21,2021-02-15
30,2021-02-14,2021-02-08
31,2021-02-07,2021-02-01
32,2021-01-31,2021-01-25
33,2021-01-24,2021-01-18
34,2021-01-17,2021-01-11
35,2021-01-10,2021-01-04
36,2021-01-03,2020-12-28
37,2020-12-27,2020-12-21
38,2020-12-20,2020-12-14
39,2020-12-13,2020-12-07
40,2020-12-06,2020-11-30
41,2020-11-29,2020-11-23
42,2020-11-22,2020-11-16
43,2020-11-15,2020-11-09
44,2020-11-08,2020-11-02
45,2020-11-01,2020-10-26
46,2020-10-25,2020-10-19
47,2020-10-18,2020-10-12
48,2020-10-11,2020-10-05
49,2020-10-04,2020-09-28
50,2020-09-27,2020-09-21
51,2020-09-20,2020-09-14
52,2020-09-13,2020-09-07
53,2020-09-06,2020-08-31
54,2020-08-30,2020-08-24
55,2020-08-23,2020-08-17
56,2020-08-16,2020-08-10
57,2020-08-09,2020-08-03
58,2020-08-02,2020-07-27
59,2020-07-26,2020-07-20
60,2020-07-19,2020-07-13
61,2020-07-12,2020-07-06
62,2020-07-05,2020-06-29
63,2020-06-28,2020-06-22
64,2020-06-21,2020-06-15
65,2020-06-14,2020-06-08
66,2020-06-07,2020-06-01
67,2020-05-31,2020-05-25
68,2020-05-24,2020-05-18
69,2020-05-17,2020-05-11
70,2020-05-10,2020-05-04
71,2020-05-03,2020-04-27
72,2020-04-26,2020-04-20
73,2020-04-19,2020-04-13
74,2020-04-12,2020-04-06
75,2020-04-05,2020-03-30
76,2020-03-29,2020-03-23
77,2020-03-22,2020-03-16
78,2020-03-15,2020-03-09
79,2020-03-08,2020-03-02
80,2020-03-01,2020-02-24
81,2020-02-23,2020-02-17
82,2020-02-16,2020-02-10
83,2020-02-09,2020-02-03
84,2020-02-02,2020-01-27
85,2020-01-26,2020-01-20
86,2020-01-19,2020-01-13
87,2020-01-12,2020-01-06
88,2020-01-05,2019-12-30
89,2019-12-29,2019-12-23
90,2019-12-22,2019-12-16
91,2019-12-15,2019-12-09
92,2019-12-08,2019-12-02
93,2019-12-01,2019-11-25
94,2019-11-24,2019-11-18
95,2019-11-17,2019-11-11
96,2019-11-10,2019-11-04
97,2019-11-03,2019-10-28
98,2019-10-27,2019-10-21
99,2019-10-20,2019-10-14
100,2019-10-13,2019-10-07
101,2019-10-06,2019-09-30
102,2019-09-29,2019-09-23
103,2019-09-22,2019-09-16
104,2019-09-15,2019-09-09
105,2019-09-08,2019-09-02
106,2019-09-01,2019-08-26
107,2019-08-25,2019-08-19
108,2019-08-18,2019-08-12
109,2019-08-11,2019-08-05
110,2019-08-04,2019-07-29
111,2019-07-28,2019-07-22
112,2019-07-21,2019-07-15
113,2019-07-14,2019-07-08
114,2019-07-07,2019-07-01
115,2019-06-30,2019-06-24
116,2019-06-23,2019-06-17
117,2019-06-16,2019-06-10
118,2019-06-09,2019-06-03
119,2019-06-02,2019-05-27
120,2019-05-26,2019-05-20
121,2019-05-19,2019-05-13
122,2019-05-12,2019-05-06
123,2019-05-05,2019-04-29
124,2019-04-28,2019-04-22
125,2019-04-21,2019-04-15
126,2019-04-14,2019-04-08
127,2019-04-07,2019-04-01
128,2019-03-31,2019-03-25
129,2019-03-24,2019-03-18
130,2019-03-17,2019-03-11
131,2019-03-10,2019-03-04
132,2019-03-03,2019-02-25
133,2019-02-24,2019-02-18
134,2019-02-17,2019-02-11
135,2019-02-10,2019-02-04
136,2019-02-03,2019-01-28
137,2019-01-27,2019-01-21
138,2019-01-20,2019-01-14
139,2019-01-13,2019-01-07
140,2019-01-06,2018-12-31
141,2018-12-30,2018-12-24
142,2018-12-23,2018-12-17
143,2018-12-16,2018-12-10
144,2018-12-09,2018-12-03
145,2018-12-02,2018-11-26
146,2018-11-25,2018-11-19
147,2018-11-18,2018-11-12
148,2018-11-11,2018-11-05
149,2018-11-04,2018-10-29
150,2018-10-28,2018-10-22
151,2018-10-21,2018-10-15
152,2018-10-14,2018-10-08
153,2018-10-07,2018-10-01
154,2018-09-30,2018-09-24
155,2018-09-23,2018-09-17
156,2018-09-16,2018-09-10
157,2018-09-09,2018-09-03
158,2018-09-02,2018-08-27
159,2018-08-26,2018-08-20
160,2018-08-19,2018-08-13
161,2018-08-12,2018-08-06
162,2018-08-05,2018-07-30
163,2018-07-29,2018-07-23
164,2018-07-22,2018-07-16
165,2018-07-15,2018-07-09
166,2018-07-08,2018-07-02
167,2018-07-01,2018-06-25
168,2018-06-24,2018-06-18
169,2018-06-17,2018-06-11
170,2018-06-10,2018-06-04
171,2018-06-03,2018-05-28
172,2018-05-27,2018-05-21
173,2018-05-20,2018-05-14
174,2018-05-13,2018-05-07
175,2018-05-06,2018-04-30
176,2018-04-29,2018-04-23
177,2018-04-22,2018-04-16
178,2018-04-15,2018-04-09
179,2018-04-08,2018-04-02
180,2018-04-01,2018-03-26
181,2018-03-25,2018-03-19
182,2018-03-18,2018-03-12
183,2018-03-11,2018-03-05
184,2018-03-04,2018-02-26
185,2018-02-25,2018-02-19
186,2018-02-18,2018-02-12
187,2018-02-11,2018-02-05
188,2018-02-04,2018-01-29
189,2018-01-28,2018-01-22
190,2018-01-21,2018-01-15
191,2018-01-14,2018-01-08
192,2018-01-07,2018-01-01
193,2017-12-31,2017-12-25
194,2017-12-24,2017-12-18
195,2017-12-17,2017-12-11
196,2017-12-10,2017-12-04
197,2017-12-03,2017-11-27
198,2017-11-26,2017-11-20
199,2017-11-19,2017-11-13
200,2017-11-12,2017-11-06
201,2017-11-05,2017-10-30
202,2017-10-29,2017-10-23
203,2017-10-22,2017-10-16
204,2017-10-15,2017-10-09
205,2017-10-08,2017-10-02
206,2017-10-01,2017-09-25
207,2017-09-24,2017-09-18
208,2017-09-17,2017-09-11
209,2017-09-10,2017-09-04
210,2017-09-03,2017-08-28
211,2017-08-27,2017-08-21
212,2017-08-20,2017-08-14
213,2017-08-13,2017-08-07
214,2017-08-06,2017-07-31
215,2017-07-30,2017-07-24
216,2017-07-23,2017-07-17
217,2017-07-16,2017-07-10
218,2017-07-09,2017-07-03
219,2017-07-02,2017-06-26
220,2017-06-25,2017-06-19
221,2017-06-18,2017-06-12
222,2017-06-11,2017-06-05
223,2017-06-04,2017-05-29
224,2017-05-28,2017-05-22
225,2017-05-21,2017-05-15
226,2017-05-14,2017-05-08
227,2017-05-07,2017-05-01
228,2017-04-30,2017-04-24
229,2017-04-23,2017-04-17
230,2017-04-16,2017-04-10
231,2017-04-09,2017-04-03
232,2017-04-02,2017-03-27
233,2017-03-26,2017-03-20
234,2017-03-19,2017-03-13
235,2017-03-12,2017-03-06
236,2017-03-05,2017-02-27
237,2017-02-26,2017-02-20
238,2017-02-19,2017-02-13
239,2017-02-12,2017-02-06
240,2017-02-05,2017-01-30
241,2017-01-29,2017-01-23
242,2017-01-22,2017-01-16
243,2017-01-15,2017-01-09
244,2017-01-08,2017-01-02
245,2017-01-01,2016-12-26
246,2016-12-25,2016-12-19
247,2016-12-18,2016-12-12
248,2016-12-11,2016-12-05
249,2016-12-04,2016-11-28
250,2016-11-27,2016-11-21
251,2016-11-20,2016-11-14
252,2016-11-13,2016-11-07
253,2016-11-06,2016-10-31
254,2016-10-30,2016-10-24
255,2016-10-23,2016-10-17
256,2016-10-16,2016-10-10
257,2016-10-09,2016-10-03
258,2016-10-02,2016-09-26
259,2016-09-25,2016-09-19
260,2016-09-18,2016-09-12
261,2016-09-11,2016-09-05
262,2016-09-04,2016-08-29
263,2016-08-28,2016-08-22
264,2016-08-21,2016-08-15
265,2016-08-14,2016-08-08
266,2016-08-07,2016-08-01
267,2016-07-31,2016-07-25
268,2016-07-24,2016-07-18
269,2016-07-17,2016-07-11
270,2016-07-10,2016-07-04
271,2016-07-03,2016-06-27
272,2016-06-26,2016-06-20
273,2016-06-19,2016-06-13
274,2016-06-12,2016-06-06
275,2016-06-05,2016-05-30
276,2016-05-29,2016-05-23
277,2016-05-22,2016-05-16
278,2016-05-15,2016-05-09
279,2016-05-08,2016-05-02
280,2016-05-01,2016-04-25
281,2016-04-24,2016-04-18
282,2016-04-17,2016-04-11
283,2016-04-10,2016-04-04
284,2016-04-03,2016-03-28
285,2016-03-27,2016-03-21
286,2016-03-20,2016-03-14
287,2016-03-13,2016-03-07
288,2016-03-06,2016-02-29
289,2016-02-28,2016-02-22
290,2016-02-21,2016-02-15
291,2016-02-14,2016-02-08
292,2016-02-07,2016-02-01
293,2016-01-31,2016-01-25
294,2016-01-24,2016-01-18
295,2016-01-17,2016-01-11
296,2016-01-10,2016-01-04
297,2016-01-03,2015-12-28
298,2015-12-27,2015-12-21
299,2015-12-20,2015-12-14
300,2015-12-13,2015-12-07
301,2015-12-06,2015-11-30
302,2015-11-29,2015-11-23
303,2015-11-22,2015-11-16
304,2015-11-15,2015-11-09
305,2015-11-08,2015-11-02
306,2015-11-01,2015-10-26
307,2015-10-25,2015-10-19
308,2015-10-18,2015-10-12
309,2015-10-11,2015-10-05
310,2015-10-04,2015-09-28
311,2015-09-27,2015-09-21
312,2015-09-20,2015-09-14
313,2015-09-13,2015-09-07
314,2015-09-06,2015-08-31
315,2015-08-30,2015-08-24
316,2015-08-23,2015-08-17
317,2015-08-16,2015-08-10
318,2015-08-09,2015-08-03
319,2015-08-02,2015-07-27
320,2015-07-26,2015-07-20
321,2015-07-19,2015-07-13
322,2015-07-12,2015-07-06
323,2015-07-05,2015-06-29
324,2015-06-28,2015-06-22
325,2015-06-21,2015-06-15
326,2015-06-14,2015-06-08
327,2015-06-07,2015-06-01
328,2015-05-31,2015-05-25
329,2015-05-24,2015-05-18
330,2015-05-17,2015-05-11
331,2015-05-10,2015-05-04
332,2015-05-03,2015-04-27
333,2015-04-26,2015-04-20
334,2015-04-19,2015-04-13
335,2015-04-12,2015-04-06
336,2015-04-05,2015-03-30
337,2015-03-29,2015-03-23
338,2015-03-22,2015-03-16
339,2015-03-15,2015-03-09
340,2015-03-08,2015-03-02
341,2015-03-01,2015-02-23
342,2015-02-22,2015-02-16
343,2015-02-15,2015-02-09
344,2015-02-08,2015-02-02
345,2015-02-01,2015-01-26
346,2015-01-25,2015-01-19
347,2015-01-18,2015-01-12
348,2015-01-11,2015-01-05
349,2015-01-04,2014-12-29
350,2014-12-28,2014-12-22
351,2014-12-21,2014-12-15
352,2014-12-14,2014-12-08
